crash_record_id,record_id,record_type,notes
2bda839d8f659fa3f2760ce4d7ba3405ef9c482a00805f3227fe9c86394315186be6526fe16e0614ec24355e298977e01ba91a7a191950c92bc13a0fb0dc640b,2bda839d8f659fa3f2760ce4d7ba3405ef9c482a00805f3227fe9c86394315186be6526fe16e0614ec24355e298977e01ba91a7a191950c92bc13a0fb0dc640b,crash,crash_type=ANIMAL
2c1d1a6e58a5886562a9d62c38d764d4884b62ac6f38ec51646493f93f40b1af90d79999fe9c121aff6863eb65eb26d6d4032a235111d91c8d680a87557cba0c,2c1d1a6e58a5886562a9d62c38d764d4884b62ac6f38ec51646493f93f40b1af90d79999fe9c121aff6863eb65eb26d6d4032a235111d91c8d680a87557cba0c,crash,crash_type=ANIMAL
2fc489b3fc38cb17be4ad03d994fd6c41446c35a9d056fa7dcc09295f852b083bd801194adf658f865ee50106894a7d8357fdfa18e30185c76e5c503721533e1,2fc489b3fc38cb17be4ad03d994fd6c41446c35a9d056fa7dcc09295f852b083bd801194adf658f865ee50106894a7d8357fdfa18e30185c76e5c503721533e1,crash,"appears to involve a shooting
https://chicago.suntimes.com/2018/4/25/18329986/2-men-shot-to-death-in-west-woodlawn
Ronald E. Robinson, 36, and Jordasch W. Robinson, 27, were sitting in a vehicle about 2:50 a.m. in the 6600 block of South Evans when someone walked up and opened fire, according to Chicago Police and the Cook County Medical Examiner’s Office."
3191fff8377eb85ea28ff21ea2c75a784af8f7d751c80e92c528c268f1040d9c6b946088c679842b734d63c063cbfc881ea6025301f9f42e488bcbbe12fb260b,3191fff8377eb85ea28ff21ea2c75a784af8f7d751c80e92c528c268f1040d9c6b946088c679842b734d63c063cbfc881ea6025301f9f42e488bcbbe12fb260b,crash,crash_type=ANIMAL
35c39d44e13bd0c094203d4c803c109eaa04ae1b79d5f8cd70293223c45e47ba43f12ac555e7e1cd39e429eea2cfff0128e1e4e0320453ffd913b320cc0f537c,35c39d44e13bd0c094203d4c803c109eaa04ae1b79d5f8cd70293223c45e47ba43f12ac555e7e1cd39e429eea2cfff0128e1e4e0320453ffd913b320cc0f537c,crash,crash_type=ANIMAL
3a04d10ad44658cd0fa3221d1a5978e91ebe958790b999a01f15f2c091ff34e9978dc1423b0b730b4c1228549da437b5a18be152d7bda6fe285754a8306b3f05,3a04d10ad44658cd0fa3221d1a5978e91ebe958790b999a01f15f2c091ff34e9978dc1423b0b730b4c1228549da437b5a18be152d7bda6fe285754a8306b3f05,crash,crash_type=ANIMAL
3ae8ebc4e410c124894896ed1ed051e16270002a0e07e4c21d2bc9df291cb614a00f99c96f194f4a0952e64856bc7e2759742785af24136e7aea73cf39da0036,3ae8ebc4e410c124894896ed1ed051e16270002a0e07e4c21d2bc9df291cb614a00f99c96f194f4a0952e64856bc7e2759742785af24136e7aea73cf39da0036,crash,"appears to involve a shooting
https://www.cbsnews.com/chicago/news/new-years-weekend-shootings/
Overnight Monday, another man was shot dead about 2:20 a.m. in the Avondale neighborhood on the Northwest Side, marking the first reported homicide in Chicago in 2018. About 2:20 a.m., 51-year-old Janusz C. Kolodziejczyk was driving a Toyota Camry south on Pulaski when it crashed into a fence in the 3900 block of West Cornelia, according to police and the medical examiner's office. Kolodziejczyk had suffered a gunshot wound to his back and was pronounced dead at the scene. He lived in the Schorsch Village neighborhood on the Northwest Side."
3c33ea1166d5cc4a44466df97b816ab8bda3d7559dfba90d0eec270613dbad17efdf03cbaaa228fe4d77ab53a613d78a965b95030f5fc5f9f8fde500080695ae,O781460,person,this was caught in the incap-tally-2x-injuries-incapacitating.sql query
3c33ea1166d5cc4a44466df97b816ab8bda3d7559dfba90d0eec270613dbad17efdf03cbaaa228fe4d77ab53a613d78a965b95030f5fc5f9f8fde500080695ae,O781461,person,this was caught in the incap-tally-2x-injuries-incapacitating.sql query
3c33ea1166d5cc4a44466df97b816ab8bda3d7559dfba90d0eec270613dbad17efdf03cbaaa228fe4d77ab53a613d78a965b95030f5fc5f9f8fde500080695ae,P178873,person,this was caught in the incap-tally-2x-injuries-incapacitating.sql query
